Category,Market,Brand,Product ,Ingredient List 
SPF,AU,BondiSands,Fragrance Free Body lotion SPF 50,"Homosalate (10.00%), Octocrylene (8.00%), Octyl Salicylate (5.00%), Butyl Methoxydibenzoylmethane (3.00%), Phenoxyethanol, Benzyl Alcohol
"
SPF,DE,DM,Sun Dance Ultra sensitive Gel creme SPF 50,"Aqua, Alcohol Denat., Dibutyl Adipate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Glycerin, C12-15 Alkyl Benzoate, Ethylhexyl Salicylate, Diethylhexyl Butamido Triazone, Propylheptyl Caprylate, VP/Hexadecene Copolymer, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Triacontanyl PVP, Phenylbenzimidazole Sulfonic Acid, Tocopheryl Acetate, Acrylates Copolymer, Microcrystalline Cellulose, Caprylyl Glycol, Sodium Hydroxide, Galactoarabinan, Disodium EDTA, Ethylhexylglycerin, Cellulose Gum, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Citric Acid, Tocopherol."
SPF,DE,DM,Balea Niacinamide 10% moisturizer SPF 30,"AQUA, NIACINAMIDE, DIBUTYL ADIPATE, GLYCERIN, ETHYLHEXYL SALICYLATE, BUTYL METHOXYDIBENZOYLMETHANE , DIISOPROPYL SEBACATE, PHENYLBENZIMIDAZOLE SULFONIC ACID, C12-15 ALKYL BENZOATE, BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE, CETEARYL ALCOHOL, GLYCERYL STEARATE CITRATE, ETHYLHEXYL TRIAZONE, PANTHENOL, SCLEROTIUM GUM, SODIUM STEAROYL GLUTAMATE, PROPYLENE GLYCOL, GLYCYRRHIZA GLABRA ROOT EXTRACT, SORBITOL , TETRASODIUM EDTA, SODIUM HYDROXIDE, CITRIC ACID, CAPRYLYL GLYCOL, ETHYLHEXYLGLYCERIN, PHENOXYETHANOL."
SPF,DE,DM ,Alverde Clear Beauty Getonte tagescreme ,"Aqua, Olea Europaea Fruit Oil*, CI 77891, Alcohol* denat., Glycerin, Zinc Oxide, Carthamus Tinctorius Seed Oil*, Prunus Amygdalus Dulcis Oil*, Cetearyl Olivate, Butyrospermum Parkii Butter*, Lauryl Laurate, Sorbitan Olivate, Tricaprylin, Camellia Sinensis Leaf Extract*, Centella Asiatica Leaf Extract, Bambusa Arundinacea Stem Powder, CI 77492, CI 77499, Dehydroxanthan Gum, Cetearyl Alcohol, CI 77491, Silica, CI 75810, Stearic Acid, Tocopherol, Helianthus Annuus Seed Oil*, Ascorbyl Palmitate, Parfum**, Limonene**, Linalool**, Benzyl Salicylate**, Citral**, Geraniol** *ingredients from certified organic agriculture **from natural essential oils"
SPF,DE,Eucerin,Sun Oil Control ,"Aqua, Homosalate, Polymethylsilsesquioxane, Butyl Methoxydibenzoylmethane, Ethylhexyl Salicylate, Octocrylene, Alcohol Denat, Tapioca Starch, Phenylbenzimidazole Sulfonic Acid, Cyclomethicone, Behenyl Alcohol, Cetearyl Alcohol, Methylpropanediol, Silica Dimethyl Silylate, Glycerin, Carnitine, Acid Gliciretinic, Glycyrrhiza Inflata Root Extract, Sodium Stearoyl Glutamate, Acrylates-C10-30-Alkyl-Acrylate-Crosspolymer, Carbomer, Xanthan Gum, Sodium Hydroxide, Sodium Chloride, Trisodium EDTA, Ethylhexylglycerin, Phenoxyethanol
"
SPF,DE,JeanLen,Sensitive Face SPF 50,"Aqua, C12-15 Alkyl Benzoate, Glycerin, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Ethylhexyl Salicylate, Titanium Dioxide (Nano), Octyldodecanol, Dibutyl Adipate, Alcohol Denat, Cetearyl Alcohol, Diethylhexyl Butamido Triazone, Glyceryl Stearate Citrate, Glyceryl Stearate SE, Tapioca Starch, Tocopheryl Acetate, Helianthus Annuus Seed Cera, Caprylyl Glycol, Aluminum Hydroxide, Stearic Acid, Glyceryl Rosinate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Polyglyceryl-2 Sesquiisostearate, Sodium Cetearyl Sulfate, Xanthan Gum, Phenylbenzimidazole Sulfonic Acid, Acacia Senegal Gum, Sclerotium Gum, Disodium EDTA, Disodium Phosphate, Caprylhydroxamic Acid, Sodium Hydroxide, Potassium Phosphate, Ascorbyl Palmitate, Tocopherol, Helianthus Annuus Seed Oil
"
SPF,DE,Nivea,Beruhigende Tagespflege 24H LSF 15,"Aqua, Glycerin, Ethylhexyl Salicylate, C12-15 Alkyl Benzoate, Methylpropanediol, Cetearyl Alcohol, Butyl Methoxydibenzoylmethane, Caprylic/Capric Triglyceride, Glyceryl Stearate, Tapioca Starch, Hydroxypropyl Starch Phosphate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Distarch Phosphate, Glycyrrhiza Inflata Root Extract, Vitis Vinifera Seed Oil, Sodium Stearoyl Glutamate, Butyrospermum Parkii Butter, Ethylhexylglycerin, Hydroxyacetophenone, Xanthan Gum, Phenylbenzimidazole Sulfonic Acid, Trisodium EDTA, Sodium Chloride, Sodium Hydroxide, Phenoxyethanol"
SPF,DE,Nivea ,Sensitive protect SPF 30,"Aqua, Homosalate, Alcohol Denat., Butyl Methoxydibenzoylmethane, Ethylhexyl Salicylate, Butylene Glycol Dicaprylate/Dicaprate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Ethylhexyl Triazone, Isopropyl Palmitate, Phenylbenzimidazole Sulfonic Acid, Silica, Tapioca Starch, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Behenyl Alcohol, Cetearyl Alcohol, Methylpropanediol, Glycerin, Glycyrrhiza Inflata Root Extract, Tocopheryl Acetate, Sodium Stearoyl Glutamate, Xanthan Gum, Carbomer, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Sodium Chloride, Sodium Hydroxide, Dimethicone, Trisodium EDTA, Caprylyl Glycol, Ethylhexylglycerin"
SPF,DE,Nivea ,Sensitive Face SPF 50,"Aqua, Alcohol Denat., Butyl Methoxydibenzoyl methane, Ethylhexyl Triazone, Bis-Ethylhexyloxyphenol Me thoxyphenyl Triazine, Isopropyl Palmitate, C12-15 Alkyl Benzoate, Dibutyl Adipate, Butylene Glycol Dicaprylate/Dicaprate, Di ethylamino Hydroxybenzoyl Hexyl Benzoate, Glyceryl Stearate, Glycerin, Phenylbenzimidazole Sulfonic Acid, Glycyrrhiza Inflata Root Extract, Aloe Barbadensis Leaf Juice Powder, Tocopheryl Acetate, Microcrystalline Cellulose, Cellulose Gum, C18-38 Alkyl Hydroxystearoyl Stearate, Copernicia Cerifera Cera, Hydroge nated Rapeseed Oil, Cetyl Palmitate, Xanthan Gum, Sodium Stearoyl Glutamate, Sodium Hydroxide, Sodium Chloride, Caprylyl Glycol, Ethylhexylglycerin, Trisodium EDTA"
SPF,DE,Nivea ,Sensitive Shine Control Face SPF 50,"Aqua, Homosalate, Butyl Methoxydibenzoylmethane, Ethylhexyl Salicylate, Butylene Glycol Dicaprylate/Dicaprate, Alcohol Denat., Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Ethylhexyl Triazone, Isopropyl Palmitate, Phenylbenzimidazole Sulfonic Acid, Silica, Tapioca Starch, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Behenyl Alcohol, Cetearyl Alcohol, Methylpropanediol, Glycerin, Glycyrrhiza Inflata Root Extract, Tocopheryl Acetate, Sodium Stearoyl Glutamate, Xanthan Gum, Carbomer, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Dimethicone, Sodium Chloride, Sodium Hydroxide, Trisodium EDTA, Ethylhexylglycerin, Phenoxyethanol, Linalool, Limonene, Benzyl Alcohol, Alpha-Isomethyl Ionone, Geraniol, Citronellol, Coumarin, Parfum"
