Classification,Name
abrasive-scrub,Actinidia-Chinensis-Seed
abrasive-scrub,Adansonia-Digitata-Seed-Powder
abrasive-scrub,Alumina
abrasive-scrub,Aluminum-Silicate
abrasive-scrub,Amethyst-Powder
abrasive-scrub,Amorphophallus-Konjac-Root-Powder
abrasive-scrub,Argania-Spinosa-Shell-Powder
abrasive-scrub,Argilla
abrasive-scrub,Astragalus-Membranaceus-Root-Powder
abrasive-scrub,Attapulgite
abrasive-scrub,Avena-Sativa-Bran
abrasive-scrub,Avena-Sativa-Bran-Extract
abrasive-scrub,Avena-Sativa-Kernel-Extract
abrasive-scrub,Avena-Sativa-Kernel-Meal
abrasive-scrub,Bambusa-Arundinacea-Juice
abrasive-scrub,Bambusa-Arundinacea-Stem-Powder
abrasive-scrub,Bertholletia-Excelsa-Seed-Powder
abrasive-scrub,Butyrospermum-Parkii-Nut-Shell-Powder
abrasive-scrub,Calcium-Carbonate
abrasive-scrub,Calcium-Phosphate
abrasive-scrub,Calcium-Pyrophosphate
abrasive-scrub,Calcium-Sulfate
abrasive-scrub,Calcium-Sulfate-Hydrate
abrasive-scrub,Calcium-Titanium-Borosilicate
abrasive-scrub,Carapa-Guaianensis-Seed-Powder
abrasive-scrub,Carya-Illinoensis-Shell-Powder
abrasive-scrub,Castanea-Crenata-Shell-Powder
abrasive-scrub,Chalk
abrasive-scrub,Charcoal-Powder
abrasive-scrub,Chenopodium-Quinoa-Seed
abrasive-scrub,Chitin
abrasive-scrub,Chlorella-Protothecoides
abrasive-scrub,Chondrus-Crispus-Powder
abrasive-scrub,Cicer-Arietinum-Seed-Powder
abrasive-scrub,Citrus-Tangerina-Peel
abrasive-scrub,Cnidium-Monnieri-Seed-Powder
abrasive-scrub,Cocos-Nucifera-Fruit
abrasive-scrub,Cocos-Nucifera-Shell-Powder
abrasive-scrub,Coffea-Arabica-Seed-Powder
abrasive-scrub,Coffea-Robusta-Seed-Powder
abrasive-scrub,Colloidal-Oatmeal
abrasive-scrub,Conchiolin-Powder
abrasive-scrub,Coral-Powder
abrasive-scrub,Corylus-Avellana-Shell-Powder
abrasive-scrub,Diamond-Powder
abrasive-scrub,Diatomaceous-Earth
abrasive-scrub,Dicalcium-Phosphate
abrasive-scrub,Dicalcium-Phosphate-Dihydrate
abrasive-scrub,Dolomite
abrasive-scrub,Egg-Shell-Powder
abrasive-scrub,Ethyl-Lactyl-Retinoate
abrasive-scrub,Ethylene/Propylene-Copolymer
abrasive-scrub,Eucalyptus-Globulus-Leaf-Powder
abrasive-scrub,Euterpe-Oleracea-Pulp-Powder
abrasive-scrub,Euterpe-Oleracea-Seed-Powder
abrasive-scrub,Fuller'S-Earth
abrasive-scrub,Garcinia-Mangostana-Peel-Powder
abrasive-scrub,Garnet-Powder
abrasive-scrub,Glass
abrasive-scrub,Glass-Beads
abrasive-scrub,Helianthus-Annuus-Seed-Flour
abrasive-scrub,Helianthus-Annuus-Seedcake
abrasive-scrub,Hibiscus-Sabdariffa-Flower-Powder
abrasive-scrub,Honey-Powder
abrasive-scrub,Hordeum-Vulgare-Powder
abrasive-scrub,Hordeum-Vulgare-Seed-Flour
abrasive-scrub,Hydrated-Silica
abrasive-scrub,Hydrogenated-Jojoba-Oil
abrasive-scrub,Hydrogenated-Poly(C6-20-Olefin)
abrasive-scrub,Hydrolyzed-Opuntia-Ficus-Indica-Flower-Extract
abrasive-scrub,Hydroxyapatite
abrasive-scrub,Illite
abrasive-scrub,Juglans-Mandshurica-Shell-Powder
abrasive-scrub,Juglans-Regia-Leaf
abrasive-scrub,Juglans-Regia-Leaf-Extract
abrasive-scrub,Juglans-Regia-Seed
abrasive-scrub,Juglans-Regia-Shell-Powder
abrasive-scrub,Kaolin
abrasive-scrub,Lactide
abrasive-scrub,Lactobacillus/Papaya-Fruit-Ferment-Extract
abrasive-scrub,Lapis-Lazuli
abrasive-scrub,Linum-Usitatissimum-Seed-Flour
abrasive-scrub,Litchi-Chinensis-Seed-Powder
abrasive-scrub,Lithothamnion-Calcareum-Powder
abrasive-scrub,Luffa-Cylindrica
abrasive-scrub,Luffa-Cylindrica-Fruit
abrasive-scrub,Luffa-Cylindrica-Fruit-Powder
abrasive-scrub,Lygodium-Japonicum-Spore
abrasive-scrub,Macadamia-Integrifolia-Shell-Powder
abrasive-scrub,Macadamia-Ternifolia-Shell-Powder
abrasive-scrub,Magnesium-Potassium-Fluorosilicate
abrasive-scrub,Magnesium-Trisilicate
abrasive-scrub,Mangifera-Indica-Seed
abrasive-scrub,Marble-Powder
abrasive-scrub,Melaleuca-Alternifolia-Leaf
abrasive-scrub,Melaleuca-Alternifolia-Leaf-Powder
abrasive-scrub,Moroccan-Lava-Clay
abrasive-scrub,Mother-Of-Pearl
abrasive-scrub,Nacre-Powder
abrasive-scrub,Nephrite-Powder
abrasive-scrub,Oenothera-Biennis-Seed
abrasive-scrub,Olea-Europaea-Fruit
abrasive-scrub,Olea-Europaea-Husk-Powder
abrasive-scrub,Olea-Europaea-Leaf-Powder
abrasive-scrub,Olea-Europaea-Seed-Powder
abrasive-scrub,Oryza-Sativa-Bran
abrasive-scrub,Oryza-Sativa-Extract
abrasive-scrub,Oryza-Sativa-Germ-Powder
abrasive-scrub,Oryza-Sativa-Hull-Powder
abrasive-scrub,Ostrea-Shell-Powder
abrasive-scrub,Ovum-Powder
abrasive-scrub,Oyster-Shell-Powder
abrasive-scrub,Papaver-Somniferum-Seed
abrasive-scrub,Passiflora-Edulis-Seed-Powder
abrasive-scrub,Passiflora-Incarnata-Seed-Powder
abrasive-scrub,Persea-Gratissima-Fruit-Powder
abrasive-scrub,Persea-Gratissima-Seed
abrasive-scrub,Phaseolus-Angularis-Seed
abrasive-scrub,Pistacia-Vera-Shell-Powder
abrasive-scrub,Platinum-Powder
abrasive-scrub,Polyhydroxybutyrate
abrasive-scrub,Polylactic-Acid
abrasive-scrub,Porphyra-Umbilicalis-Powder
abrasive-scrub,Prunus-Amygdalus-Dulcis-Seed-Meal
abrasive-scrub,Prunus-Amygdalus-Dulcis-Seedcoat-Powder
abrasive-scrub,Prunus-Amygdalus-Dulcis-Shell-Powder
abrasive-scrub,Prunus-Armeniaca-Seed-Powder
abrasive-scrub,Prunus-Armeniaca-Shell-Powder
abrasive-scrub,Prunus-Cerasus-Shell-Powder
abrasive-scrub,Prunus-Mume-Fruit
abrasive-scrub,Prunus-Persica-Fruit-Extract
abrasive-scrub,Prunus-Persica-Seed-Powder
abrasive-scrub,Pumice
abrasive-scrub,Punica-Granatum-Seed
abrasive-scrub,Punica-Granatum-Seed-Powder
abrasive-scrub,Pyrus-Cydonia-Seed
abrasive-scrub,Quartz
abrasive-scrub,Quartz-Powder
abrasive-scrub,Rosa-Canina-Seed
abrasive-scrub,Rosa-Canina-Seed-Powder
abrasive-scrub,Rosa-Centifolia-Flower-Powder
abrasive-scrub,Rosa-Rugosa-Bud-Powder
abrasive-scrub,Rubus-Idaeus-Seed
abrasive-scrub,Rubus-Idaeus-Seed-Powder
